fecha,la_rioja_region,hogares_NBI_TOT,hogares_NBI_HAC,hogares_NBI_VIV,hogares_NBI_SAN,hogares_NBI_ESC,hogares_NBI_SUB,hogares_base,pct_hogares_NBI_TOT,pct_hogares_NBI_HAC,pct_hogares_NBI_VIV,pct_hogares_NBI_SAN,pct_hogares_NBI_ESC,pct_hogares_NBI_SUB
2007-Q1,1. Resto país,1981164,316119,46941,53670,1736433,111604,6712696,29.51368570839496,4.709270314043716,0.6992868439148742,0.7995297269532242,25.867892721493718,1.6625808765956331
2007-Q1,2. NOA-Resto,217822,46159,6460,17309,190314,8368,526458,41.37500047487169,8.767840929380881,1.2270684461058623,3.2878216305954133,36.149892299100784,1.5894905196615874
2007-Q1,3. La Rioja,16742,2509,808,563,15089,601,43182,38.77078412301422,5.810291325089158,1.8711500162104582,1.3037839840674355,34.942800240841095,1.3917836135426798
2007-Q2,1. Resto país,1978747,293479,48216,59145,1745446,95937,6825309,28.991317462696557,4.299863932900328,0.7064295550575073,0.8665541735912616,25.573142549297035,1.4056066912135405
2007-Q2,2. NOA-Resto,217955,42455,6357,17605,188200,7921,533015,40.89096929729932,7.965066649156214,1.192649362588295,3.302908923763872,35.308574805587085,1.486074500717616
2007-Q2,3. La Rioja,17007,3346,150,534,15611,711,42724,39.806666042505384,7.83166370190057,0.3510907218425241,1.2498829697593858,36.53918172455762,1.6641700215335644
2008-Q1,1. Resto país,1985894,286566,42226,46599,1775966,90613,6763951,29.359970230417105,4.236665818543038,0.624280099013136,0.6889316613913968,26.25634041405681,1.3396460145852624
2008-Q1,2. NOA-Resto,218717,39334,7969,21277,188089,9196,534792,40.89758261155739,7.355009050247572,1.490112043560861,3.9785561489326695,35.17049619291239,1.7195470388487486
2008-Q1,3. La Rioja,16766,2596,349,247,16065,289,44374,37.78338666786858,5.85027268220129,0.7864965971064137,0.5566322621354847,36.203632757921305,0.651282282417632
2008-Q2,1. Resto país,1935268,265613,48087,44560,1746241,73372,6820615,28.37380500145515,3.8942675990361573,0.705024400292349,0.6533135208481933,25.60239802422509,1.0757387713571285
2008-Q2,2. NOA-Resto,222212,40567,9849,19466,191709,8480,546478,40.662570130911035,7.423354645566701,1.8022683438308589,3.5620830115759463,35.08082667554778,1.5517550569281837
2008-Q2,3. La Rioja,16891,3212,505,125,15459,493,44907,37.61328968757655,7.15255973456254,1.1245462845436123,0.27835304072861694,34.42447725298951,1.0978243926336653
2008-Q3,1. Resto país,1994426,283576,48202,40078,1814047,63387,6851135,29.110884546867048,4.139109797135803,0.7035622564728325,0.5849833640703328,26.478050717143947,0.9252043639484552
2008-Q3,2. NOA-Resto,229353,42644,11882,19688,195694,9165,555609,41.279568905471294,7.675181647525509,2.1385542710791223,3.5434991153851,35.22153168865155,1.649541314125581
2008-Q3,3. La Rioja,17705,3533,366,137,15673,485,44857,39.46987092315581,7.876139732929086,0.8159261653699534,0.3054149853980427,34.93992019082863,1.0812136344383263
2008-Q4,1. Resto país,1996076,269880,33672,35935,1828449,89938,6852672,29.128433405246888,3.9383177831946425,0.4913703734835112,0.5243939882136487,26.682278095318146,1.312451551745071
2008-Q4,2. NOA-Resto,221508,39963,9190,19932,193155,7320,554322,39.96016755604144,7.209347635489842,1.6578811593261678,3.595743989955297,34.845270438481606,1.3205321094959248
2008-Q4,3. La Rioja,17848,3199,136,465,16546,534,44103,40.46890234224429,7.253474820307009,0.3083690451896696,1.0543500442146791,37.516722218443185,1.2108019862594381
2009-Q1,1. Resto país,1968803,260795,47448,41981,1756240,95590,6919808,28.45169981594865,3.768818441205305,0.6856837646362443,0.6066786824143098,25.379894933501046,1.3813967092728585
2009-Q1,2. NOA-Resto,220212,37265,8377,14681,190418,10413,556129,39.59728767965706,6.700783451321546,1.5063051917810437,2.63985514152292,34.23989757772028,1.8724073011837181
2009-Q1,3. La Rioja,17342,3631,102,290,16185,615,46456,37.329946616152924,7.8159979335285,0.21956259686585156,0.6242465989323231,34.83941794386086,1.3238333046323403
2009-Q2,1. Resto país,2005252,277363,35680,36056,1786301,97367,6992406,28.677568207566896,3.966631800270179,0.5102678534398603,0.5156451155725226,25.546299800097422,1.3924677714652154
2009-Q2,2. NOA-Resto,225408,44398,9315,13934,191015,10973,566439,39.793870125468054,7.838090244492346,1.6444842251328033,2.4599294893183554,33.72207775241465,1.9371900593002953
2009-Q2,3. La Rioja,17624,3939,250,219,15819,233,47218,37.32474903638443,8.34215765174298,0.5294591045787623,0.4638061756109958,33.50205430132577,0.49345588546740654
2009-Q3,1. Resto país,1989588,283244,27479,31646,1803427,93613,7037596,28.27084703356089,4.024726625398787,0.3904600377742627,0.4496705977438887,25.6256113593335,1.330184341357475
2009-Q3,2. NOA-Resto,227425,46754,11758,14339,196002,9147,567998,40.03975366110444,8.231367011855676,2.070077711541238,2.524480720002535,34.507515871534764,1.6103929943415294
2009-Q3,3. La Rioja,18219,2732,477,513,16902,314,46253,39.38987741335697,5.906643893369079,1.0312844572243962,1.109117246448879,36.542494540894644,0.6788748837913217
2009-Q4,1. Resto país,1946386,231264,43197,35417,1769564,99187,7006459,27.77988139229816,3.3007258017209553,0.6165311179298987,0.5054907193491035,25.256181474836293,1.4156509015467014
2009-Q4,2. NOA-Resto,223295,39792,11551,12952,192312,9226,572568,38.99886127062637,6.949742214025234,2.0174022998141705,2.262089393748865,33.58762627321122,1.6113369940338966
2009-Q4,3. La Rioja,18309,3697,143,773,16672,160,45905,39.88454416730204,8.053588933667356,0.3115129070907309,1.6839124278401045,36.318483825291366,0.34854591003158697
2010-Q1,1. Resto país,1917923,253141,47206,43953,1735225,74204,7049595,27.206144466455168,3.590858765645402,0.6696271204232299,0.6234826255976408,24.614534593831277,1.0525994755727104
2010-Q1,2. NOA-Resto,217893,38978,8928,12461,190533,8357,577822,37.70936378331043,6.7456760040289225,1.5451125086964497,2.156546479711745,32.974341579240665,1.4462931491012803
2010-Q1,3. La Rioja,16226,3225,0,151,14916,247,47591,34.09468176756109,6.776491353407158,0,0.3172868819734824,31.34206047361896,0.5190056943539745
2010-Q2,1. Resto país,1983399,297143,32584,37795,1756884,100497,7060430,28.091759283782995,4.2085680333917335,0.4615016365858737,0.5353073396379541,24.883526923997547,1.4233835616244337
2010-Q2,2. NOA-Resto,226458,47040,8322,9752,196217,8122,585299,38.690993833920786,8.036917882996555,1.4218373856780895,1.6661569556756461,33.52423291343399,1.3876668164476618
2010-Q2,3. La Rioja,17104,2833,162,239,15804,158,47673,35.87775050867367,5.942567071507981,0.3398149896167642,0.501331990854362,33.15084009816878,0.3314244960459799
2010-Q3,1. Resto país,1987619,284257,28460,32840,1783334,88163,7087540,28.043848782511283,4.010658140906436,0.401549761976652,0.4633483550004656,25.161537007198547,1.243915378255361
2010-Q3,2. NOA-Resto,230160,49617,9649,10356,198510,7808,592414,38.85120878304699,8.375392884030425,1.628759617429703,1.7481018341902792,33.50866117276094,1.3179972114095886
2010-Q3,3. La Rioja,18274,2655,130,743,16933,329,48243,37.87907053873101,5.503389092718114,0.2694691457828079,1.5401198101278941,35.0993926580022,0.6819642227887983
2010-Q4,1. Resto país,2009976,253996,46580,33706,1813099,83357,7130392,28.18885693801968,3.562160397352628,0.6532600171210784,0.4727089338145785,25.427760493392228,1.1690381117896462
2010-Q4,2. NOA-Resto,223005,40681,12568,11800,191302,9165,588150,37.916347870441214,6.91677293207515,2.1368698461276887,2.0062909121822665,32.52605627816033,1.5582759500127519
2010-Q4,3. La Rioja,17515,3909,0,502,16479,247,48260,36.29299627020306,8.099875673435557,0,1.040198922503108,34.146290924160795,0.5118110236220472
2011-Q1,1. Resto país,2056736,278354,47290,34305,1827751,100310,7196436,28.579924840573863,3.8679424092703667,0.6571308353190385,0.47669429701035343,25.398002566826133,1.393884417230974
2011-Q1,2. NOA-Resto,216683,41336,10251,10144,190544,7569,592841,36.54993497413303,6.972527203752776,1.729131419722995,1.7110827355058102,32.140826967095734,1.2767335592511313
2011-Q1,3. La Rioja,16700,3743,156,246,15395,504,50082,33.34531368555569,7.473743061379339,0.31148915778123876,0.4911944411165688,30.739587077193402,1.0063495866778482
2011-Q2,1. Resto país,2009874,278100,35270,28010,1803809,88767,7276905,27.6199015927788,3.8216796838765927,0.4846840792892033,0.3849163895914541,24.788134515978978,1.2198455249862408
2011-Q2,2. NOA-Resto,222342,46755,9473,8450,189877,7809,608428,36.54368306521067,7.684557581176408,1.5569631903857153,1.3888249718947845,31.20780108739243,1.2834715036125885
2011-Q2,3. La Rioja,17213,3158,277,539,15966,381,50390,34.159555467354636,6.267116491367335,0.549712244492955,1.0696566779122842,31.684858106767216,0.7561024012700933
