fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2018-Q2,3. La Rioja,91225,10884,380,0,87625,260,208533,43.74607376290563,5.219317805814907,0.18222535521955757,0,42.01972829240456,0.12468050620285519
2018-Q3,1. Resto país,9653968,1143982,104829,34625,9104352,267419,25176061,38.34582383638171,4.543927662075493,0.41638364317595195,0.1375314430641076,36.162734114760845,1.0621955515598727
2018-Q3,2. NOA-Resto,1117466,144290,22596,31215,1037105,29295,2456164,45.496391934740515,5.874607721634223,0.9199711419921472,1.2708841917722107,42.22458272330349,1.1927135158727187
2018-Q3,3. La Rioja,89480,9448,274,1500,86381,1950,209291,42.75386901491225,4.514288717622832,0.13091819524012022,0.7167054483948188,41.27315555852856,0.9317170829132643
2018-Q4,1. Resto país,9364619,1223261,57217,18575,8841415,233320,25241988,37.09937188782437,4.846135732256904,0.22667390539921023,0.07358770632487426,35.02661913950676,0.9243329011962133
2018-Q4,2. NOA-Resto,1090005,134004,20108,22028,1026694,20682,2462008,44.27300804871471,5.442874271732667,0.8167317084266176,0.8947168327641503,41.70148919093683,0.8400460112233591
2018-Q4,3. La Rioja,78356,9096,147,1750,74321,2143,210314,37.2566733550786,4.324961723898552,0.06989548960126288,0.8320891619197961,35.33811348745209,1.0189526137109275
2019-Q1,1. Resto país,9765483,1166382,84778,31865,9225879,213625,25566322,38.19666747528252,4.562181451051113,0.33160029823609355,0.12463662156801435,36.086062750832916,0.8355718902390418
2019-Q1,2. NOA-Resto,1152036,154674,8710,12617,1076793,30093,2477341,46.502923901069735,6.243549030997348,0.35158664067643497,0.509296055730721,43.46567549642944,1.2147298252440824
2019-Q1,3. La Rioja,90516,6373,142,156,89024,3210,216968,41.71859444710741,2.937299509605103,0.06544743925371484,0.07190000368717968,41.03093543748387,1.4794808451015817
2019-Q2,1. Resto país,9652266,1144298,91868,44466,9177395,239494,25628706,37.66193267814614,4.464907436216249,0.35845742660593166,0.17350076121673874,35.80904552886907,0.93447558374582
2019-Q2,2. NOA-Resto,1160549,178902,15195,17057,1083348,28789,2483502,46.73034287872528,7.203618116675566,0.6118376389469387,0.6868124124723878,43.62178890937072,1.1592098576928869
2019-Q2,3. La Rioja,103283,8772,0,144,101686,1748,217984,47.3810004403993,4.024148561362302,0,0.06605989430416911,46.64837786259542,0.80189371697005285
2019-Q3,1. Resto país,9731225,1263314,76057,68757,9154179,312603,25280566,38.4929079515071,4.997174509463119,0.30085165023599547,0.2719757144677853,36.21034038557523,1.2365348149246342
2019-Q3,2. NOA-Resto,1115106,153806,17137,20882,1062532,17958,2489574,44.791036538781334,6.178004751013627,0.6883506977498961,0.8387780399377565,42.67926962604847,0.721328227238877
2019-Q3,3. La Rioja,102611,6996,0,0,102107,0,218988,46.8569054012092,3.194695599758891,0,0,46.626755803970994,0
2019-Q4,1. Resto país,9681375,1272973,35996,34075,9286194,230018,25753971,37.59177565277215,4.942822215649773,0.1397687370231177,0.13230969313431315,36.05732879018929,0.893136052688729
2019-Q4,2. NOA-Resto,1146041,171624,5940,19548,1080187,20137,2494933,45.93474053211048,6.8789021588956505,0.2380825457036321,0.7835080140428621,43.2952307737322,0.807115862429973
2019-Q4,3. La Rioja,92601,6915,0,0,92253,1060,219814,42.12698008316122,3.145841484163884,0,0,41.96866441627922,0.4822258818819547
2020-Q1,1. Resto país,9731436,1179224,63136,30476,9240325,225027,25815742,37.695743937942986,4.567848563097663,0.24456395636429898,0.11805200098451557,35.79337367099501,0.8716658231245107
2020-Q1,2. NOA-Resto,1122856,167935,4824,13409,1070513,25948,2500855,44.89888458147313,6.715103434625358,0.19289403024165735,0.536176627593363,42.80588038890699,1.0375651527177705
2020-Q1,3. La Rioja,96544,12404,420,0,93058,1238,220733,43.73790960119239,5.61945880316944,0.19027512877548894,0,42.15862603235583,0.5608585938667984
2020-Q2,1. Resto país,10767375,1198916,49357,56126,10292784,193306,25876437,41.61073257496772,4.633234475055434,0.19074109777941994,0.2169000314842418,39.77666631615473,0.74703484100226
2020-Q2,2. NOA-Resto,1166796,152108,14215,8225,1127432,27337,2506680,46.54746517305759,6.068106020712656,0.5670847495492045,0.32812325466353903,44.97710118563199,1.090566007627619
2020-Q2,3. La Rioja,104682,7795,175,0,103507,580,221660,47.22638274835334,3.5166471172065323,0.078949742849409,0,46.696291617793015,0.261662004872327
2020-Q3,1. Resto país,10971622,909526,35293,26029,10549614,205658,25771546,42.572618654697706,3.5291868015989416,0.13694560660039565,0.10099898547025468,40.935122790072434,0.798004124393624
2020-Q3,2. NOA-Resto,1194729,154921,11702,3361,1137027,30857,2512256,47.55602136088042,6.166608816935853,0.46579647933968515,0.13378413664849442,45.25920129158812,1.228258585112345
2020-Q3,3. La Rioja,106242,7012,0,0,105832,166,222686,47.70933062698149,3.1488283951393443,0,0,47.52521487655264,0.07454442578339007
2020-Q4,1. Resto país,10748378,1547905,52244,32880,10256127,152052,25998271,41.34266467181606,5.9538767020314545,0.20095182483481303,0.1264699487131279,39.44926568386028,0.5848542774248334
2020-Q4,2. NOA-Resto,1151301,172287,5584,1034,1109509,27819,2517904,45.724578856064404,6.842476917309,0.22177175936810936,0.04106590243313486,44.06478563122343,1.10484752397232
