fecha,REGION,AGLOMERADO,la_rioja_region,desoc,pea,tasa_desoc
2017-Q2,Patagonica,Ushuaia - Rio Grande,1. Resto país,4135,67225,6.150985496467088
2017-Q2,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,522,32905,1.586385047865066
2017-Q3,Cuyo,Gran Mendoza,1. Resto país,18225,417763,4.362521333866331
2017-Q3,Cuyo,Gran San Juan,1. Resto país,18159,201537,9.010256181247115
2017-Q3,Cuyo,San Luis - El Chorrillo,1. Resto país,3023,86549,3.4928190966966692
2017-Q3,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,114822,1580456,7.265118421518853
2017-Q3,Gran Buenos Aires,Partidos del GBA,1. Resto país,573717,5581124,10.279596009692671
2017-Q3,Nordeste,Corrientes,1. Resto país,5297,156194,3.3912954402857984
2017-Q3,Nordeste,Formosa,1. Resto país,2540,80834,3.1422421258381372
2017-Q3,Nordeste,Gran Resistencia,1. Resto país,5152,152826,3.371154122989543
2017-Q3,Nordeste,Posadas,1. Resto país,6771,164017,4.128230610241621
2017-Q3,Noroeste,Gran Catamarca,2. NOA-Resto,8275,96395,8.584470148866643
2017-Q3,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,30225,390727,7.73558008532812
2017-Q3,Noroeste,Jujuy - Palpala,2. NOA-Resto,9211,157041,5.865347266000598
2017-Q3,Noroeste,La Rioja,3. La Rioja,2300,83336,2.759911682826149
2017-Q3,Noroeste,S. del Estero - La Banda,2. NOA-Resto,3806,158463,2.4018225074623096
2017-Q3,Noroeste,Salta,2. NOA-Resto,24165,282842,8.543639204927132
2017-Q3,Pampeana,Bahia Blanca - Cerri,1. Resto país,11090,136173,8.144052051434572
2017-Q3,Pampeana,Concordia,1. Resto país,1842,43794,4.20605562405809
2017-Q3,Pampeana,Gran Cordoba,1. Resto país,65030,712140,9.131631420788047
2017-Q3,Pampeana,Gran La Plata,1. Resto país,27676,400558,6.909361440790097
2017-Q3,Pampeana,Gran Parana,1. Resto país,4660,101185,4.605425705391116
2017-Q3,Pampeana,Gran Rosario,1. Resto país,50453,603720,8.357019810508183
2017-Q3,Pampeana,Gran Santa Fe,1. Resto país,6981,222013,3.144410462450397
2017-Q3,Pampeana,Mar del Plata - Batan,1. Resto país,26031,290618,8.95711896716652
2017-Q3,Pampeana,Rio Cuarto,1. Resto país,5137,83493,6.152611596181716
2017-Q3,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,6051,77967,7.760975797452768
2017-Q3,Pampeana,Santa Rosa - Toay,1. Resto país,3370,49908,6.752424461008255
2017-Q3,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,2684,88082,3.0471606003496743
2017-Q3,Patagonica,Neuquen - Plottier,1. Resto país,8494,136052,6.243201128980096
2017-Q3,Patagonica,Rawson - Trelew,1. Resto país,5684,66601,8.53440639029444
2017-Q3,Patagonica,Rio Gallegos,1. Resto país,2947,49374,5.9687284805768215
2017-Q3,Patagonica,Ushuaia - Rio Grande,1. Resto país,3713,65140,5.700030703101013
2017-Q3,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,593,33907,1.7489014067891586
2017-Q4,Cuyo,Gran Mendoza,1. Resto país,11536,420641,2.7424811181030853
2017-Q4,Cuyo,Gran San Juan,1. Resto país,10346,215647,4.797655427620138
2017-Q4,Cuyo,San Luis - El Chorrillo,1. Resto país,1053,90831,1.1592958351223701
2017-Q4,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,93107,1578459,5.89860110398813
2017-Q4,Gran Buenos Aires,Partidos del GBA,1. Resto país,510761,5577041,9.158279453208252
2017-Q4,Nordeste,Corrientes,1. Resto país,4823,156937,3.073207720295405
2017-Q4,Nordeste,Formosa,1. Resto país,3091,85169,3.629254775798706
2017-Q4,Nordeste,Gran Resistencia,1. Resto país,9031,147045,6.1416573157876835
2017-Q4,Nordeste,Posadas,1. Resto país,4365,162631,2.683990137181718
2017-Q4,Noroeste,Gran Catamarca,2. NOA-Resto,7156,97087,7.370708745764108
2017-Q4,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,20061,401701,4.994012959888075
2017-Q4,Noroeste,Jujuy - Palpala,2. NOA-Resto,8783,149657,5.868753215686537
2017-Q4,Noroeste,La Rioja,3. La Rioja,3240,86760,3.7344398340248963
2017-Q4,Noroeste,S. del Estero - La Banda,2. NOA-Resto,7036,165486,4.25171917866164
2017-Q4,Noroeste,Salta,2. NOA-Resto,24238,292199,8.295031810512699
2017-Q4,Pampeana,Bahia Blanca - Cerri,1. Resto país,10435,147991,7.051104459054942
2017-Q4,Pampeana,Concordia,1. Resto país,2076,45183,4.594648429719142
2017-Q4,Pampeana,Gran Cordoba,1. Resto país,45656,693768,6.580874298036231
2017-Q4,Pampeana,Gran La Plata,1. Resto país,24284,413839,5.867982476277006
2017-Q4,Pampeana,Gran Parana,1. Resto país,2939,99075,2.9664395659853646
2017-Q4,Pampeana,Gran Rosario,1. Resto país,45750,602433,7.5942054967108374
2017-Q4,Pampeana,Gran Santa Fe,1. Resto país,7287,219758,3.3159202395362173
2017-Q4,Pampeana,Mar del Plata - Batan,1. Resto país,28445,306259,9.28789031506013
2017-Q4,Pampeana,Rio Cuarto,1. Resto país,4894,85177,5.745682519929089
2017-Q4,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,5865,84692,6.92509327917631
2017-Q4,Pampeana,Santa Rosa - Toay,1. Resto país,4021,51371,7.82737342080162
2017-Q4,Patagonica,Cdro. Rivadavia - R.Tilly,1. Resto país,3299,88111,3.744140913166347
2017-Q4,Patagonica,Neuquen - Plottier,1. Resto país,7661,133097,5.755952425674508
2017-Q4,Patagonica,Rawson - Trelew,1. Resto país,5720,64230,8.905495874202087
2017-Q4,Patagonica,Rio Gallegos,1. Resto país,3500,50561,6.922331441229406
2017-Q4,Patagonica,Ushuaia - Rio Grande,1. Resto país,3732,67388,5.5380779960823885
2017-Q4,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,1357,37728,3.596798134011874
2018-Q1,Cuyo,Gran Mendoza,1. Resto país,17767,426609,4.164703510708869
2018-Q1,Cuyo,Gran San Juan,1. Resto país,9532,202010,4.718578288203554
2018-Q1,Cuyo,San Luis - El Chorrillo,1. Resto país,1861,99241,1.8752330186112596
2018-Q1,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,137524,1598516,8.603229495356944
2018-Q1,Gran Buenos Aires,Partidos del GBA,1. Resto país,634196,5609567,11.3056141409845
2018-Q1,Nordeste,Corrientes,1. Resto país,7652,162405,4.711677596133123
2018-Q1,Nordeste,Formosa,1. Resto país,2315,82287,2.813324097366534
2018-Q1,Nordeste,Gran Resistencia,1. Resto país,15123,160542,9.419964869006241
2018-Q1,Nordeste,Posadas,1. Resto país,4658,163442,2.8499406517296655
2018-Q1,Noroeste,Gran Catamarca,2. NOA-Resto,7492,100601,7.447242075128478
2018-Q1,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,26848,383998,6.991703081786885
2018-Q1,Noroeste,Jujuy - Palpala,2. NOA-Resto,10032,140352,7.147742818057455
2018-Q1,Noroeste,La Rioja,3. La Rioja,3267,88094,3.7085386064885233
2018-Q1,Noroeste,S. del Estero - La Banda,2. NOA-Resto,5918,152085,3.8912450274517543
2018-Q1,Noroeste,Salta,2. NOA-Resto,25368,288882,8.781440172804121
2018-Q1,Pampeana,Bahia Blanca - Cerri,1. Resto país,15137,154354,9.806678155408994
2018-Q1,Pampeana,Concordia,1. Resto país,3606,44822,8.045156396412475
2018-Q1,Pampeana,Gran Cordoba,1. Resto país,76536,744535,10.279704782179481
2018-Q1,Pampeana,Gran La Plata,1. Resto país,30280,389897,7.766153625188191
2018-Q1,Pampeana,Gran Parana,1. Resto país,4186,99554,4.204753199268739
2018-Q1,Pampeana,Gran Rosario,1. Resto país,58474,634298,9.218695313559241
2018-Q1,Pampeana,Gran Santa Fe,1. Resto país,15277,226850,6.734405995150981
2018-Q1,Pampeana,Mar del Plata - Batan,1. Resto país,27540,322274,8.545523374519819
2018-Q1,Pampeana,Rio Cuarto,1. Resto país,5449,80673,6.7544283713262185
2018-Q1,Pampeana,San Nicolas - Villa Constitucion,1. Resto país,5148,79873,6.4452318054912165
