fecha,la_rioja_region,ocupado,pob_tot,tasa_empleo
2016-Q3,3. La Rioja,81371,202181,40.24661071020521
2016-Q4,1. Resto país,10424760,24725860,42.161364660319194
2016-Q4,2. NOA-Resto,954607,2415832,39.51462684491306
2016-Q4,3. La Rioja,79883,203138,39.32449861670392
2017-Q1,1. Resto país,10283656,24790882,41.48160601950346
2017-Q1,2. NOA-Resto,962140,2421606,39.73148398211765
2017-Q1,3. La Rioja,82588,204009,40.48252773161968
2017-Q2,1. Resto país,10325375,24854622,41.54307798364425
2017-Q2,2. NOA-Resto,986284,2426815,40.6410871862915
2017-Q2,3. La Rioja,83162,205012,40.564454763623594
2017-Q3,1. Resto país,10601883,24919273,42.544912927435725
2017-Q3,2. NOA-Resto,1009786,2433104,41.50196621270608
2017-Q3,3. La Rioja,81036,205762,39.38336524722738
2017-Q4,1. Resto país,10770028,24982973,43.109472999870754
2017-Q4,2. NOA-Resto,1038856,2438835,42.596403610740374
2017-Q4,3. La Rioja,83520,206692,40.40794999322664
2018-Q1,1. Resto país,10673806,25047647,42.61400681668821
2018-Q1,2. NOA-Resto,990260,2444581,40.508373418594026
2018-Q1,3. La Rioja,84827,207754,40.83050145845568
2018-Q2,1. Resto país,10570253,25109796,42.09613252134744
2018-Q2,2. NOA-Resto,988049,2450134,40.326325009162765
2018-Q2,3. La Rioja,84038,208533,40.299616847213635
2018-Q3,1. Resto país,10740005,25176061,42.65959238023772
2018-Q3,2. NOA-Resto,997946,2456164,40.630267359997134
2018-Q3,3. La Rioja,84073,209291,40.17038477526506
2018-Q4,1. Resto país,10671179,25241988,42.275509361623975
2018-Q4,2. NOA-Resto,1036052,2462008,42.081585437577786
2018-Q4,3. La Rioja,86166,210314,40.97016841484638
2019-Q1,1. Resto país,10856549,25566322,42.46425825349458
2019-Q1,2. NOA-Resto,998848,2477341,40.31935853804543
2019-Q1,3. La Rioja,91920,216968,42.36569448029203
2019-Q2,1. Resto país,10960443,25628706,42.76627544129617
2019-Q2,2. NOA-Resto,1022616,2483502,41.176371108217346
2019-Q2,3. La Rioja,90334,217984,41.44065619495009
2019-Q3,1. Resto país,10791628,25280566,42.68744615923551
