fecha,REGION,AGLOMERADO,la_rioja_region,mayor_25_superior,pob_tot,porc_mayor_25_superior
2015-Q2,Patagonica,Rawson - Trelew,1. Resto país,21289,137797,15.449538088637635
2015-Q2,Patagonica,Rio Gallegos,1. Resto país,16331,109797,14.87381258140022
2015-Q2,Patagonica,Ushuaia - Rio Grande,1. Resto país,24141,145454,16.596999738749023
2015-Q2,Patagonica,Viedma - Carmen de Patagones.,1. Resto país,12689,86093,14.738712787334626
2016-Q2,Cuyo,Gran Mendoza,1. Resto país,174281,932677,18.686104621428427
2016-Q2,Cuyo,Gran San Juan,1. Resto país,80259,496764,16.15636398772858
2016-Q2,Cuyo,San Luis - El Chorrillo,1. Resto país,37370,220896,16.91746342170071
2016-Q2,Gran Buenos Aires,Ciudad de Buenos Aires,1. Resto país,1062437,2917702,36.41348568153979
2016-Q2,Gran Buenos Aires,Partidos del GBA,1. Resto país,1454752,11778197,12.351228290713765
2016-Q2,Nordeste,Corrientes,1. Resto país,76434,367325,20.80827604981964
2016-Q2,Nordeste,Formosa,1. Resto país,31196,241431,12.921290140868406
2016-Q2,Nordeste,Gran Resistencia,1. Resto país,59773,382265,15.63653486455731
2016-Q2,Nordeste,Posadas,1. Resto país,56989,352693,16.158245272800993
2016-Q2,Noroeste,Gran Catamarca,2. NOA-Resto,41197,212466,19.389925917558575
2016-Q2,Noroeste,Gran Tucuman - T. Viejo,2. NOA-Resto,155440,875608,17.752236160473636
2016-Q2,Noroeste,Jujuy - Palpala,2. NOA-Resto,59887,332959,17.986298613342782
2016-Q2,Noroeste,La Rioja,3. La Rioja,34436,201357,17.10196317982489
2016-Q2,Noroeste,S. del Estero - La Banda,2. NOA-Resto,54021,378706,14.264627441867834
2016-Q2,Noroeste,Salta,2. NOA-Resto,95027,604120,15.72982188969079
2016-Q2,Pampeana,Bahia Blanca - Cerri,1. Resto país,59325,307158,19.314164045865645
2016-Q2,Pampeana,Concordia,1. Resto país,11185,108937,10.267402260021848
2016-Q2,Pampeana,Gran Cordoba,1. Resto país,315745,1522885,20.73334493412175
2016-Q2,Pampeana,Gran La Plata,1. Resto país,176821,852556,20.74010387587443
2016-Q2,Pampeana,Gran Parana,1. Resto país,41106,217804,18.87293162660006
2016-Q2,Pampeana,Gran Rosario,1. Resto país,251586,1286995,19.548327693580784
2016-Q2,Pampeana,Gran Santa Fe,1. Resto país,94785,516174,18.362993874158715
